xd_id,sum(label)
449627735,0.0
449630934,0.0
449629855,0.0
396039314,0.0
160523048,0.0
449630773,0.0
441415896,0.0
161014699,0.0
1524599754,0.0
461629190,2.0
160923301,0.0
1524447999,0.0
449636452,0.0
449614873,0.0
449614859,0.0
449614862,0.0
449614933,0.0
160500563,0.0
155912895,0.0
160807043,0.0
156133582,0.0
156156730,0.0
449615218,0.0
1524546371,0.0
160388710,0.0
160493089,0.0
1524454067,0.0
441552646,0.0
396069171,0.0
160215002,0.0
1524371582,0.0
449631042,0.0
441416432,0.0
449633535,0.0
396049286,0.0
441420513,0.0
449617507,0.0
449620821,0.0
449620870,0.0
449620742,0.0
1524296341,0.0
396162419,0.0
449628648,0.0
449628611,0.0
1524512402,4.0
441552725,0.0
160091699,0.0
429334673,0.0
1524353199,0.0
449617802,0.0
156017153,0.0
160537749,0.0
449630789,0.0
449629770,0.0
1524386450,0.0
160057082,0.0
1524334904,0.0
156202569,0.0
1524292934,7.0
1524546060,0.0
1524452384,0.0
395993419,0.0
441550901,0.0
449614942,0.0
155961704,0.0
1524354917,0.0
160122285,0.0
160787588,0.0
156214161,0.0
461630630,0.0
449626624,0.0
1524345225,0.0
160301288,0.0
155783062,0.0
449637527,0.0
1524591097,0.0
449633422,0.0
1524392031,0.0
1524333566,0.0
160082924,0.0
1524325583,0.0
449622670,0.0
1524423183,0.0
450428428,0.0
449628655,0.0
449628534,0.0
449628565,0.0
1524293001,7.0
441419732,0.0
441549482,0.0
159981831,0.0
1524536376,3.0
1524534649,0.0
449629857,0.0
449630743,0.0
160459059,0.0
429360093,0.0
1524368730,0.0
449614875,0.0
1524555699,0.0
156696744,0.0
156003861,0.0
429359802,0.0
159939293,0.0
450416014,0.0
1524271231,0.0
441549452,0.0
449629713,0.0
1524476949,0.0
429334759,0.0
429334934,0.0
429334972,0.0
156078860,0.0
449631059,0.0
159937329,0.0
1524420853,0.0
1524346352,0.0
160263176,0.0
449620900,0.0
429334569,0.0
429334604,0.0
429334636,0.0
429334666,0.0
449622657,0.0
160382913,0.0
449628472,0.0
449622570,0.0
449629861,0.0
160397952,0.0
160444435,0.0
449621936,0.0
441550917,0.0
449614996,0.0
449614986,0.0
1524565038,0.0
449614916,0.0
396024465,0.0
450433800,0.0
396069602,0.0
160316845,0.0
1524544573,0.0
1524467567,0.0
156571523,0.0
156376306,0.0
449637529,0.0
1524495133,0.0
441418945,0.0
449633527,0.0
449621029,0.0
449617678,0.0
449617526,0.0
1524463404,0.0
1524630045,0.0
449617544,0.0
441419735,0.0
1524548436,0.0
429334865,0.0
449626601,0.0
429334717,0.0
160736437,2.0
441552777,0.0
441430157,0.0
396069345,0.0
1524384242,0.0
1524571556,0.0
449630940,0.0
449629872,0.0
449630842,0.0
429359862,0.0
1524600216,0.0
156246069,0.0
396049191,0.0
160913336,0.0
159971883,0.0
1524614582,0.0
449626591,0.0
396069508,0.0
449636435,0.0
429359759,0.0
449575009,0.0
449614846,0.0
1524513571,0.0
1524592047,0.0
449626480,0.0
449638401,0.0
159846485,0.0
155962515,0.0
160596084,0.0
155888074,0.0
155964223,0.0
441427083,0.0
160494295,0.0
156571518,0.0
450415945,0.0
160588529,0.0
449629695,0.0
160289968,0.0
159801088,0.0
1524416707,0.0
429334642,0.0
429359743,0.0
1524635442,0.0
156202570,0.0
1524584899,0.0
449628645,0.0
160803866,0.0
1524410839,0.0
1524372559,0.0
1524276716,0.0
156049879,0.0
1524534666,0.0
449630988,0.0
1524534775,0.0
449630866,0.0
449629843,0.0
449629812,0.0
449617801,0.0
449629771,0.0
156205470,0.0
156042096,0.0
156167606,0.0
1524440032,0.0
429359790,0.0
449614930,0.0
449614903,0.0
1524447428,0.0
160137127,0.0
159929871,0.0
1524519555,0.0
1524462725,0.0
160710372,0.0
396024845,0.0
156220465,0.0
160412825,0.0
449621239,0.0
160121361,0.0
156078831,0.0
449617531,0.0
461624096,0.0
441420122,0.0
1524527622,0.0
429334668,0.0
429334702,0.0
429334725,0.0
1524308348,1.0
1524329275,2.0
1524362110,0.0
429360077,0.0
1524461692,0.0
1524640133,0.0
449630939,0.0
449630857,0.0
449630821,0.0
159898014,0.0
160156869,0.0
1524584328,0.0
159681069,0.0
441550803,0.0
449614872,0.0
156601813,0.0
160569522,0.0
156505287,0.0
161137987,0.0
160776797,0.0
160475779,0.0
156431053,0.0
396083671,0.0
429334786,0.0
156121134,0.0
396068610,0.0
449631052,0.0
449631048,0.0
449631109,0.0
449633521,0.0
1524290879,0.0
449617473,0.0
396023187,0.0
160258017,0.0
429334568,0.0
429334590,0.0
1524397221,0.0
429334890,0.0
1524449868,0.0
449628639,0.0
1524631665,0.0
156228352,0.0
1524282557,1.0
1524481548,0.0
441552780,0.0
441552596,0.0
449622569,0.0
441549497,0.0
449629807,0.0
449629704,0.0
160719107,0.0
396049576,0.0
156432562,0.0
156203942,0.0
1524595879,0.0
1524497503,2.0
1524350881,3.0
1524452496,0.0
1524295529,0.0
1524447262,0.0
449626544,0.0
449626489,0.0
156200359,0.0
160318853,0.0
160434038,0.0
160667450,0.0
449626572,0.0
449614811,0.0
1524450715,0.0
1524618876,0.0
156219357,0.0
441550757,0.0
449622598,0.0
156317791,0.0
160637169,0.0
429334792,0.0
429334843,0.0
1524637654,0.0
449621102,0.0
1524517849,0.0
449617649,0.0
1524534137,0.0
449617509,0.0
1524380303,0.0
449617466,0.0
449620766,0.0
1524634612,0.0
1524543536,0.0
1524468693,0.0
441552738,0.0
396021368,0.0
1524400206,0.0
441426946,0.0
449630985,0.0
449630853,0.0
449630742,0.0
449630730,0.0
449630796,0.0
449630770,0.0
159697905,0.0
396049791,0.0
160371524,0.0
160757323,0.0
160922885,0.0
429360092,0.0
160918088,0.0
449626593,0.0
449626590,0.0
1524542833,0.0
396014383,0.0
1524319849,0.0
449574971,0.0
156103298,0.0
160378568,0.0
160268069,0.0
396068825,0.0
396005314,0.0
1524339986,0.0
441552643,0.0
449631067,0.0
449621047,0.0
1524407501,0.0
160397946,0.0
449617581,0.0
449620830,0.0
159957219,0.0
441420123,0.0
450428450,0.0
449628583,0.0
396068337,0.0
1524481169,0.0
1524529683,0.0
156001017,0.0
1524535956,5.0
1524292889,1.0
1524373060,0.0
1524357761,0.0
441549505,0.0
429360111,0.0
429360112,0.0
450430914,0.0
1524390732,0.0
449629731,0.0
396050103,0.0
159873642,0.0
160802832,0.0
396005749,0.0
396005680,0.0
160717430,0.0
449617489,0.0
1524342010,0.0
1524469378,0.0
449636441,0.0
441550815,0.0
1524374045,0.0
156342369,0.0
449626530,0.0
156097525,0.0
429334829,0.0
449614799,0.0
449622699,0.0
156090673,0.0
160097517,0.0
1524290282,0.0
156400839,0.0
1524381148,0.0
160160777,0.0
1524491391,0.0
1524468723,0.0
449617515,0.0
160792437,0.0
1524312294,0.0
429334907,0.0
450428467,0.0
449628658,0.0
156814440,0.0
450433814,0.0
441552691,0.0
1524372534,0.0
1524615200,0.0
449629736,0.0
159971312,0.0
1524457148,0.0
156126758,0.0
449626511,0.0
159894848,0.0
159966863,0.0
441550893,0.0
1524543122,0.0
1524519532,0.0
449622732,0.0
449622721,0.0
156655726,0.0
396070009,0.0
429334885,0.0
429334976,0.0
429334990,0.0
449621083,0.0
1524503239,0.0
449617668,0.0
441420519,0.0
449617589,0.0
449617584,0.0
449619645,0.0
429359904,0.0
1524265391,0.0
1524576571,0.0
1524521621,0.0
449628660,0.0
449628505,0.0
1524616003,0.0
1524343901,0.0
1524385984,5.0
156240890,0.0
449630920,0.0
449617837,0.0
160863394,0.0
156743921,0.0
156180874,0.0
156275795,0.0
1524404223,0.0
